Day,Time,Currency,Impact,Event,Actual,Forecast,Previous,SourceURL
20100916,8:30am,USD,3,PPI m/m,0.4%,0.3%,0.2%,https://www.forexfactory.com/calendar?month=sep.2010
20100917,8:30am,USD,3,Core CPI m/m,0.0%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=sep.2010
20100917,8:30am,USD,3,CPI y/y,1.1%,1.1%,1.2%,https://www.forexfactory.com/calendar?month=sep.2010
20101014,8:30am,USD,3,PPI m/m,0.4%,0.2%,0.4%,https://www.forexfactory.com/calendar?month=oct.2010
20101015,8:30am,USD,3,Core CPI m/m,0.0%,0.1%,0.0%,https://www.forexfactory.com/calendar?month=oct.2010
20101015,8:30am,USD,3,CPI y/y,1.1%,1.2%,1.1%,https://www.forexfactory.com/calendar?month=oct.2010
20101116,8:30am,USD,3,PPI m/m,0.4%,0.7%,0.4%,https://www.forexfactory.com/calendar?month=nov.2010
20101117,8:30am,USD,3,Core CPI m/m,0.0%,0.1%,0.0%,https://www.forexfactory.com/calendar?month=nov.2010
20101117,8:30am,USD,3,CPI y/y,1.2%,1.2%,1.1%,https://www.forexfactory.com/calendar?month=nov.2010
20101214,8:30am,USD,3,PPI m/m,0.8%,0.6%,0.4%,https://www.forexfactory.com/calendar?month=dec.2010
20101215,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.0%,https://www.forexfactory.com/calendar?month=dec.2010
20101215,8:30am,USD,3,CPI y/y,1.1%,1.1%,1.2%,https://www.forexfactory.com/calendar?month=dec.2010
20110113,8:30am,USD,3,PPI m/m,1.1%,0.8%,0.8%,https://www.forexfactory.com/calendar?month=jan.2011
20110114,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=jan.2011
20110114,8:30am,USD,3,CPI y/y,1.5%,1.4%,1.1%,https://www.forexfactory.com/calendar?month=jan.2011
20110216,8:30am,USD,3,PPI m/m,0.8%,0.9%,1.1%,https://www.forexfactory.com/calendar?month=feb.2011
20110217,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=feb.2011
20110217,8:30am,USD,3,CPI y/y,1.6%,1.6%,1.5%,https://www.forexfactory.com/calendar?month=feb.2011
20110316,8:30am,USD,3,PPI m/m,1.6%,0.7%,0.8%,https://www.forexfactory.com/calendar?month=mar.2011
20110317,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=mar.2011
20110317,8:30am,USD,3,CPI y/y,2.1%,2.0%,1.6%,https://www.forexfactory.com/calendar?month=mar.2011
20110414,8:30am,USD,3,PPI m/m,0.7%,1.1%,1.6%,https://www.forexfactory.com/calendar?month=apr.2011
20110415,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=apr.2011
20110415,8:30am,USD,3,CPI y/y,2.7%,2.6%,2.1%,https://www.forexfactory.com/calendar?month=apr.2011
20110512,8:30am,USD,3,PPI m/m,0.8%,0.6%,0.7%,https://www.forexfactory.com/calendar?month=may.2011
20110513,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=may.2011
20110513,8:30am,USD,3,CPI y/y,3.2%,3.1%,2.7%,https://www.forexfactory.com/calendar?month=may.2011
20110614,8:30am,USD,3,PPI m/m,0.2%,0.1%,0.8%,https://www.forexfactory.com/calendar?month=jun.2011
20110615,8:30am,USD,3,Core CPI m/m,0.3%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=jun.2011
20110615,8:30am,USD,3,CPI y/y,3.6%,3.4%,3.2%,https://www.forexfactory.com/calendar?month=jun.2011
20110714,8:30am,USD,3,PPI m/m,-0.4%,-0.2%,0.2%,https://www.forexfactory.com/calendar?month=jul.2011
20110715,8:30am,USD,3,Core CPI m/m,0.3%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=jul.2011
20110715,8:30am,USD,3,CPI y/y,3.6%,3.6%,3.6%,https://www.forexfactory.com/calendar?month=jul.2011
20110817,8:30am,USD,3,PPI m/m,0.2%,0.0%,-0.4%,https://www.forexfactory.com/calendar?month=aug.2011
