Date,Symbol,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,MA20,MA60,52W_High,52W_Low,Position_52W
2018-11-22,XQQ.TO,18.775760650634766,18.871122360229492,18.690994262695312,18.69452667236328,18.213054656982422,22084,0.0,0.0,19.66227626800537,20.742459519704184,22.00748062133789,18.140012741088867,0.1433790656947122
2018-11-23,XQQ.TO,18.62742042541504,18.89584732055664,18.62742042541504,18.740442276000977,18.257789611816406,146096,0.0,0.0,19.617244148254393,20.6880677541097,22.00748062133789,18.140012741088867,0.15525133071653285
2018-11-26,XQQ.TO,19.026527404785156,19.15367889404297,18.917037963867188,19.150146484375,18.656944274902344,218577,0.0,0.0,19.61300582885742,20.641387367248534,22.00748062133789,18.140012741088867,0.2611873645919177
2018-11-27,XQQ.TO,19.09363555908203,19.234912872314453,18.95235824584961,19.217252731323242,18.722318649291992,114668,0.0,0.0,19.597641944885254,20.594883569081624,22.00748062133789,18.140012741088867,0.27853883305296184
2018-11-28,XQQ.TO,19.309083938598633,19.828277587890625,19.27729606628418,19.828277587890625,19.317607879638672,223107,0.0,0.0,19.58898868560791,20.56015288035075,22.00748062133789,18.140012741088867,0.43652976548910644
2018-11-29,XQQ.TO,19.750574111938477,19.90951156616211,19.644617080688477,19.77882957458496,19.269433975219727,228204,0.0,0.0,19.5649715423584,20.529895973205566,22.00748062133789,18.140012741088867,0.42374413550153944
2018-11-30,XQQ.TO,19.814149856567383,19.92363929748535,19.750574111938477,19.920108795166016,19.40707015991211,204987,0.0,0.0,19.56408863067627,20.504819266001384,22.00748062133789,18.140012741088867,0.46027429553274773
2018-12-03,XQQ.TO,20.446365356445312,20.446365356445312,20.13202476501465,20.227386474609375,19.706438064575195,152324,0.0,0.0,19.581395149230957,20.485805702209472,22.00748062133789,18.140012741088867,0.5397261976448796
2018-12-04,XQQ.TO,20.146150588989258,20.209726333618164,19.47861671447754,19.47861671447754,18.97695541381836,239246,0.0,0.0,19.554375839233398,20.45366512934367,22.00748062133789,18.140012741088867,0.3461189633209003
2018-12-05,XQQ.TO,19.535127639770508,19.77882957458496,19.49627685546875,19.77882957458496,19.269433975219727,22084,0.0,0.0,19.51128625869751,20.42352596918742,22.00748062133789,18.140012741088867,0.42374413550153944
2018-12-06,XQQ.TO,19.18546485900879,19.616361618041992,19.00533676147461,19.59870147705078,19.09394645690918,88903,0.0,0.0,19.46572427749634,20.391561953226724,22.00748062133789,18.15414047241211,0.37488541078871035
2018-12-07,XQQ.TO,19.513935089111328,19.623424530029297,18.94882583618164,18.991209030151367,18.50209617614746,131939,0.0,0.0,19.404975032806398,20.34594113032023,22.00748062133789,18.15414047241211,0.2172319404433093
2018-12-10,XQQ.TO,18.917037963867188,19.249040603637695,18.754568099975586,19.174869537353516,18.681028366088867,294173,0.0,0.0,19.384666442871094,20.30396998723348,22.00748062133789,18.15414047241211,0.26489461752447707
2018-12-11,XQQ.TO,19.425636291503906,19.47508430480957,19.150146484375,19.23844337463379,18.74296760559082,148644,0.0,0.0,19.36594715118408,20.268709500630695,22.00748062133789,18.15414047241211,0.28139298902121507
2018-12-12,XQQ.TO,19.460956573486328,19.690532684326172,19.415040969848633,19.415040969848633,18.915016174316406,631382,0.0,0.0,19.365417385101317,20.233213551839192,22.00748062133789,18.15414047241211,0.32722273370754257
2018-12-13,XQQ.TO,19.55278778076172,19.60223388671875,19.291423797607422,19.407976150512695,18.908130645751953,315125,0.0,0.0,19.349876880645752,20.197776476542156,22.00748062133789,18.15414047241211,0.32538930632690843
2018-12-14,XQQ.TO,19.241975784301758,19.245508193969727,18.89584732055664,18.92763328552246,18.44015884399414,1382812,0.0,0.0,19.310848903656005,20.15068400700887,22.00748062133789,18.15414047241211,0.20073307396077733
2018-12-17,XQQ.TO,18.818143844604492,18.994741439819336,18.358993530273438,18.48261070251465,18.006601333618164,337209,0.0,0.0,19.28277006149292,20.098293654123943,22.00748062133789,18.15414047241211,0.0852429885262293
2018-12-18,XQQ.TO,18.630952835083008,18.76869773864746,18.464950561523438,18.62742042541504,18.147676467895508,218011,0.0,0.0,19.27817859649658,20.04696289698283,22.00748062133789,18.15414047241211,0.12282329997129082
2018-12-19,XQQ.TO,18.556781768798828,18.828739166259766,18.012863159179688,18.238906860351562,17.7691707611084,258215,0.0,0.0,19.245861434936522,19.98856824239095,22.00748062133789,18.15414047241211,0.021998158652846662
2018-12-20,XQQ.TO,18.065841674804688,18.22831153869629,17.659669876098633,17.89630889892578,17.435396194458008,222258,0.0,0.0,19.20595054626465,19.924640210469565,22.00748062133789,17.89630889892578,0.0
